DATA; N TASKS; TOTAL RUN SECONDS CPU; TOTAL RUN SECONDS GPU; DISCOVER ENTRIES RUNTIME MS; COMPUTE METRICS RUNTIME MS; SORT RUNTIME MS; VERSION; PLATFORM; PREFERRED WORK GROUP SIZE; GPU TEMPERATURE; CPU TEMPERATURE; DEVICE
20/02/22 00.36.52; 262144; 2.101111E+03; 2.084921E+03; 7.372800E-02; 1.961747E+03; 9.753190E+01; vectorized; NVIDIA CUDA; 32; 50; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
20/02/22 00.36.54; 262144; 2.078244E+03; 2.051004E+03; 5.305600E-02; 1.925527E+03; 9.750221E+01; vectorized; NVIDIA CUDA; 32; 51; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
20/02/22 00.36.57; 262144; 2.070941E+03; 2.044955E+03; 3.686400E-02; 1.919341E+03; 9.760957E+01; vectorized; NVIDIA CUDA; 32; 51; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
20/02/22 00.36.59; 262144; 2.088035E+03; 2.060686E+03; 3.734400E-02; 1.936384E+03; 9.746432E+01; vectorized; NVIDIA CUDA; 32; 51; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
20/02/22 00.37.01; 262144; 2.055855E+03; 2.027581E+03; 6.377600E-02; 1.902752E+03; 9.752826E+01; vectorized; NVIDIA CUDA; 32; 51; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
20/02/22 00.37.03; 262144; 2.057385E+03; 2.030413E+03; 3.744000E-02; 1.904919E+03; 9.749283E+01; vectorized; NVIDIA CUDA; 32; 52; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
20/02/22 00.37.06; 262144; 2.059215E+03; 2.032739E+03; 3.731200E-02; 1.906445E+03; 9.750323E+01; vectorized; NVIDIA CUDA; 32; 52; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
20/02/22 00.37.08; 262144; 2.062642E+03; 2.036005E+03; 5.072000E-02; 1.910872E+03; 9.758733E+01; vectorized; NVIDIA CUDA; 32; 52; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
20/02/22 00.37.10; 262144; 2.082986E+03; 2.055580E+03; 5.523200E-02; 1.927740E+03; 9.797018E+01; vectorized; NVIDIA CUDA; 32; 53; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
20/02/22 00.37.12; 262144; 2.084071E+03; 2.054982E+03; 5.120000E-02; 1.927985E+03; 9.795789E+01; vectorized; NVIDIA CUDA; 32; 53; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
20/02/22 00.37.15; 262144; 2.074046E+03; 2.044557E+03; 3.801600E-02; 1.917880E+03; 9.798035E+01; vectorized; NVIDIA CUDA; 32; 53; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
20/02/22 00.37.17; 262144; 2.069922E+03; 2.042031E+03; 3.878400E-02; 1.914286E+03; 9.793341E+01; vectorized; NVIDIA CUDA; 32; 53; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
20/02/22 00.37.19; 262144; 2.079629E+03; 2.052782E+03; 3.878400E-02; 1.926033E+03; 9.806118E+01; vectorized; NVIDIA CUDA; 32; 53; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
20/02/22 00.37.21; 262144; 2.065263E+03; 2.036783E+03; 3.891200E-02; 1.910490E+03; 9.796138E+01; vectorized; NVIDIA CUDA; 32; 54; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
20/02/22 00.37.24; 262144; 2.082054E+03; 2.052855E+03; 4.998400E-02; 1.926287E+03; 9.797434E+01; vectorized; NVIDIA CUDA; 32; 54; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
