DATA; N TASKS; TOTAL RUN SECONDS CPU; TOTAL RUN SECONDS GPU; DISCOVER ENTRIES RUNTIME MS; COMPUTE METRICS RUNTIME MS; SORT RUNTIME MS; VERSION; PLATFORM; PREFERRED WORK GROUP SIZE; GPU TEMPERATURE; CPU TEMPERATURE; DEVICE
20/02/22 00.39.07; 262144; 3.174761E+03; 3.152792E+03; 7.400000E-02; 2.959313E+03; 1.677709E+02; vectorized; Intel(R) OpenCL HD Graphics; 32; 46; 0; Intel(R) UHD Graphics
20/02/22 00.39.11; 262144; 3.179475E+03; 3.150325E+03; 6.783300E-02; 2.954347E+03; 1.669635E+02; vectorized; Intel(R) OpenCL HD Graphics; 32; 46; 0; Intel(R) UHD Graphics
20/02/22 00.39.14; 262144; 3.168388E+03; 3.142138E+03; 6.716600E-02; 2.952535E+03; 1.631208E+02; vectorized; Intel(R) OpenCL HD Graphics; 32; 46; 0; Intel(R) UHD Graphics
20/02/22 00.39.18; 262144; 3.183074E+03; 3.160507E+03; 8.608300E-02; 2.968391E+03; 1.631793E+02; vectorized; Intel(R) OpenCL HD Graphics; 32; 46; 0; Intel(R) UHD Graphics
20/02/22 00.39.21; 262144; 3.206713E+03; 3.184178E+03; 6.825000E-02; 2.993883E+03; 1.627352E+02; vectorized; Intel(R) OpenCL HD Graphics; 32; 47; 0; Intel(R) UHD Graphics
20/02/22 00.39.24; 262144; 3.227654E+03; 3.200463E+03; 8.233300E-02; 3.006605E+03; 1.632132E+02; vectorized; Intel(R) OpenCL HD Graphics; 32; 47; 0; Intel(R) UHD Graphics
20/02/22 00.39.28; 262144; 3.195496E+03; 3.168979E+03; 6.741600E-02; 2.970029E+03; 1.726380E+02; vectorized; Intel(R) OpenCL HD Graphics; 32; 47; 0; Intel(R) UHD Graphics
20/02/22 00.39.31; 262144; 3.165598E+03; 3.139180E+03; 8.108300E-02; 2.940447E+03; 1.720180E+02; vectorized; Intel(R) OpenCL HD Graphics; 32; 47; 0; Intel(R) UHD Graphics
20/02/22 00.39.34; 262144; 3.196340E+03; 3.174715E+03; 8.366600E-02; 2.982581E+03; 1.644664E+02; vectorized; Intel(R) OpenCL HD Graphics; 32; 48; 0; Intel(R) UHD Graphics
20/02/22 00.39.38; 262144; 3.191884E+03; 3.167562E+03; 7.425000E-02; 2.970396E+03; 1.688938E+02; vectorized; Intel(R) OpenCL HD Graphics; 32; 48; 0; Intel(R) UHD Graphics
20/02/22 00.39.41; 262144; 3.206975E+03; 3.185491E+03; 6.708300E-02; 2.989271E+03; 1.696532E+02; vectorized; Intel(R) OpenCL HD Graphics; 32; 48; 0; Intel(R) UHD Graphics
20/02/22 00.39.45; 262144; 3.182536E+03; 3.158390E+03; 6.783300E-02; 2.959262E+03; 1.688226E+02; vectorized; Intel(R) OpenCL HD Graphics; 32; 48; 0; Intel(R) UHD Graphics
20/02/22 00.39.48; 262144; 3.182764E+03; 3.157321E+03; 1.250000E-01; 2.961304E+03; 1.668501E+02; vectorized; Intel(R) OpenCL HD Graphics; 32; 48; 0; Intel(R) UHD Graphics
20/02/22 00.39.51; 262144; 3.168153E+03; 3.139894E+03; 6.741600E-02; 2.948029E+03; 1.649127E+02; vectorized; Intel(R) OpenCL HD Graphics; 32; 49; 0; Intel(R) UHD Graphics
20/02/22 00.39.55; 262144; 3.171057E+03; 3.149148E+03; 6.775000E-02; 2.959914E+03; 1.624764E+02; vectorized; Intel(R) OpenCL HD Graphics; 32; 49; 0; Intel(R) UHD Graphics
