DATA; N TASKS; TOTAL RUN SECONDS CPU; TOTAL RUN SECONDS GPU; DISCOVER ENTRIES RUNTIME MS; COMPUTE METRICS RUNTIME MS; SORT RUNTIME MS; VERSION; PLATFORM; PREFERRED WORK GROUP SIZE; GPU TEMPERATURE; CPU TEMPERATURE; DEVICE
06/02/22 22.27.11; 4096; 4.537493E+03; 4.178966E+03; 2.006240E+00; 2.983001E+03; 1.125632E+00; standard; NVIDIA CUDA; 32; 40; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.27.16; 4096; 4.542880E+03; 4.136048E+03; 1.425408E+00; 2.935649E+03; 1.296896E+00; standard; NVIDIA CUDA; 32; 41; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.27.21; 4096; 4.475880E+03; 4.039320E+03; 1.439136E+00; 2.877209E+03; 1.224672E+00; standard; NVIDIA CUDA; 32; 42; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.27.25; 4096; 4.531998E+03; 4.140711E+03; 1.424384E+00; 2.927803E+03; 1.152896E+00; standard; NVIDIA CUDA; 32; 43; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.27.30; 4096; 4.476349E+03; 4.085152E+03; 1.432736E+00; 2.883984E+03; 1.099776E+00; standard; NVIDIA CUDA; 32; 43; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.27.35; 4096; 4.507405E+03; 4.109718E+03; 1.428800E+00; 2.923767E+03; 1.207136E+00; standard; NVIDIA CUDA; 32; 44; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.27.39; 4096; 4.552195E+03; 4.159754E+03; 1.475968E+00; 2.960757E+03; 1.210368E+00; standard; NVIDIA CUDA; 32; 44; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.27.44; 4096; 4.534989E+03; 4.144676E+03; 1.450080E+00; 2.916334E+03; 1.122336E+00; standard; NVIDIA CUDA; 32; 45; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.27.49; 4096; 4.500668E+03; 4.109375E+03; 1.424000E+00; 2.913536E+03; 1.130752E+00; standard; NVIDIA CUDA; 32; 46; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.27.54; 4096; 4.605281E+03; 4.181711E+03; 1.426304E+00; 2.975651E+03; 1.191168E+00; standard; NVIDIA CUDA; 32; 46; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.27.58; 4096; 4.548311E+03; 4.148812E+03; 1.435168E+00; 2.940599E+03; 1.182688E+00; standard; NVIDIA CUDA; 32; 46; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.28.03; 4096; 4.440637E+03; 4.036346E+03; 1.429504E+00; 2.888888E+03; 1.427456E+00; standard; NVIDIA CUDA; 32; 47; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.28.08; 4096; 4.554178E+03; 4.097218E+03; 1.423712E+00; 2.970933E+03; 1.166656E+00; standard; NVIDIA CUDA; 32; 47; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.28.13; 4096; 4.757028E+03; 4.292403E+03; 1.525472E+00; 2.985834E+03; 1.917312E+00; standard; NVIDIA CUDA; 32; 48; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.28.18; 4096; 4.688636E+03; 4.274187E+03; 1.429504E+00; 2.992542E+03; 1.250528E+00; standard; NVIDIA CUDA; 32; 48; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.28.49; 4096; 4.359819E+03; 4.019836E+03; 1.956448E+00; 2.864418E+03; 1.057760E+00; standard; NVIDIA CUDA; 32; 45; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.28.53; 4096; 4.294845E+03; 3.951051E+03; 1.425408E+00; 2.809291E+03; 1.047200E+00; standard; NVIDIA CUDA; 32; 45; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.28.58; 4096; 4.274475E+03; 3.938798E+03; 1.452000E+00; 2.779775E+03; 1.110240E+00; standard; NVIDIA CUDA; 32; 45; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.29.02; 4096; 4.353356E+03; 4.009654E+03; 1.425728E+00; 2.839066E+03; 1.214016E+00; standard; NVIDIA CUDA; 32; 45; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.29.07; 4096; 4.329297E+03; 3.978707E+03; 1.438048E+00; 2.819764E+03; 1.083392E+00; standard; NVIDIA CUDA; 32; 45; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.29.11; 4096; 4.319133E+03; 3.978806E+03; 1.425280E+00; 2.803257E+03; 1.072224E+00; standard; NVIDIA CUDA; 32; 45; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.29.16; 4096; 4.334518E+03; 3.989134E+03; 1.440544E+00; 2.814552E+03; 1.087744E+00; standard; NVIDIA CUDA; 32; 45; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
