DATA; N TASKS; TOTAL RUN SECONDS CPU; TOTAL RUN SECONDS GPU; DISCOVER ENTRIES RUNTIME MS; COMPUTE METRICS RUNTIME MS; SORT RUNTIME MS; VERSION; PLATFORM; PREFERRED WORK GROUP SIZE; GPU TEMPERATURE; CPU TEMPERATURE; DEVICE
13/01/22 01.31.25; 4096; 9.955395E+00; 9.640425E+00; 2.711833E+00; 8.948863E+03; 2.290749E+00; standard; Intel(R) OpenCL HD Graphics; 32; 38; 0; Intel(R) UHD Graphics
13/01/22 01.31.55; 4096; 9.714777E+00; 9.406756E+00; 2.828916E+00; 8.512622E+03; 2.274700E+00; standard; Intel(R) OpenCL HD Graphics; 32; 40; 0; Intel(R) UHD Graphics
13/01/22 01.32.05; 4096; 9.721804E+00; 9.421188E+00; 2.630750E+00; 8.487723E+03; 3.372450E+00; standard; Intel(R) OpenCL HD Graphics; 32; 41; 0; Intel(R) UHD Graphics
13/01/22 01.32.15; 4096; 9.610617E+00; 9.317447E+00; 2.732333E+00; 8.438889E+03; 2.296900E+00; standard; Intel(R) OpenCL HD Graphics; 32; 42; 0; Intel(R) UHD Graphics
13/01/22 01.32.25; 4096; 9.668566E+00; 9.369990E+00; 3.083833E+00; 8.480505E+03; 2.456050E+00; standard; Intel(R) OpenCL HD Graphics; 32; 43; 0; Intel(R) UHD Graphics
13/01/22 01.32.35; 4096; 9.637273E+00; 9.331316E+00; 2.591500E+00; 8.416050E+03; 3.433249E+00; standard; Intel(R) OpenCL HD Graphics; 32; 43; 0; Intel(R) UHD Graphics
13/01/22 01.32.45; 4096; 9.630167E+00; 9.334715E+00; 2.757416E+00; 8.496469E+03; 2.384899E+00; standard; Intel(R) OpenCL HD Graphics; 32; 44; 0; Intel(R) UHD Graphics
13/01/22 01.32.54; 4096; 9.448541E+00; 9.154453E+00; 2.942500E+00; 8.282530E+03; 2.186300E+00; standard; Intel(R) OpenCL HD Graphics; 32; 44; 0; Intel(R) UHD Graphics
13/01/22 01.33.04; 4096; 9.575081E+00; 9.281562E+00; 2.677416E+00; 8.381088E+03; 2.499799E+00; standard; Intel(R) OpenCL HD Graphics; 32; 45; 0; Intel(R) UHD Graphics
13/01/22 01.33.14; 4096; 9.666480E+00; 9.363532E+00; 3.352500E+00; 8.485460E+03; 2.795133E+00; standard; Intel(R) OpenCL HD Graphics; 32; 45; 0; Intel(R) UHD Graphics
13/01/22 01.33.23; 4096; 9.543993E+00; 9.246061E+00; 2.683166E+00; 8.397537E+03; 2.247866E+00; standard; Intel(R) OpenCL HD Graphics; 32; 46; 0; Intel(R) UHD Graphics
13/01/22 01.33.33; 4096; 9.578435E+00; 9.274382E+00; 2.661250E+00; 8.420465E+03; 2.324366E+00; standard; Intel(R) OpenCL HD Graphics; 32; 46; 0; Intel(R) UHD Graphics
13/01/22 01.33.43; 4096; 9.649864E+00; 9.357933E+00; 2.637083E+00; 8.505550E+03; 2.246700E+00; standard; Intel(R) OpenCL HD Graphics; 32; 47; 0; Intel(R) UHD Graphics
13/01/22 01.33.53; 4096; 9.627912E+00; 9.324497E+00; 2.730000E+00; 8.433698E+03; 2.386216E+00; standard; Intel(R) OpenCL HD Graphics; 32; 47; 0; Intel(R) UHD Graphics
13/01/22 01.34.03; 4096; 9.648449E+00; 9.352015E+00; 2.925083E+00; 8.431936E+03; 2.251716E+00; standard; Intel(R) OpenCL HD Graphics; 32; 47; 0; Intel(R) UHD Graphics
13/01/22 01.34.12; 4096; 9.626136E+00; 9.311486E+00; 2.572333E+00; 8.432556E+03; 2.275599E+00; standard; Intel(R) OpenCL HD Graphics; 32; 47; 0; Intel(R) UHD Graphics
