DATA; N TASKS; TOTAL RUN SECONDS CPU; TOTAL RUN SECONDS GPU; DISCOVER ENTRIES RUNTIME MS; COMPUTE METRICS RUNTIME MS; SORT RUNTIME MS; VERSION; PLATFORM; PREFERRED WORK GROUP SIZE; GPU TEMPERATURE; CPU TEMPERATURE; DEVICE
16/02/22 22.28.55; 4096; 9.552742E+02; 9.443141E+02; 1.750000E-02; 1.300748E+02; 2.235000E-01; standard; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.28.56; 4096; 9.678158E+02; 9.578580E+02; 1.900000E-02; 1.297318E+02; 2.321000E-01; standard; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.28.57; 4096; 9.585070E+02; 9.472083E+02; 1.730000E-02; 1.265676E+02; 2.295000E-01; standard; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.28.58; 4096; 9.574906E+02; 9.467545E+02; 4.320000E-02; 1.265920E+02; 2.127000E-01; standard; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.28.59; 4096; 9.503725E+02; 9.403441E+02; 4.240000E-02; 1.200694E+02; 1.903000E-01; standard; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.29.00; 4096; 9.620977E+02; 9.505436E+02; 1.920000E-02; 1.285043E+02; 2.541000E-01; standard; Intel(R) OpenCL; 128; 43; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.29.01; 4096; 9.560362E+02; 9.454968E+02; 3.630000E-02; 1.299712E+02; 1.749000E-01; standard; Intel(R) OpenCL; 128; 43; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.29.03; 4096; 9.520701E+02; 9.422643E+02; 4.330000E-02; 1.257237E+02; 1.786000E-01; standard; Intel(R) OpenCL; 128; 43; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.29.04; 4096; 9.616048E+02; 9.487881E+02; 3.710000E-02; 1.293134E+02; 2.399000E-01; standard; Intel(R) OpenCL; 128; 43; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.29.05; 4096; 9.543320E+02; 9.440301E+02; 1.860000E-02; 1.256660E+02; 2.208000E-01; standard; Intel(R) OpenCL; 128; 43; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.29.06; 4096; 9.494904E+02; 9.394141E+02; 2.090000E-02; 1.201467E+02; 4.067000E-01; standard; Intel(R) OpenCL; 128; 43; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.29.07; 4096; 9.670652E+02; 9.561408E+02; 4.710000E-02; 1.298222E+02; 2.520000E-01; standard; Intel(R) OpenCL; 128; 43; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.29.08; 4096; 9.694634E+02; 9.556936E+02; 1.900000E-02; 1.292089E+02; 2.415000E-01; standard; Intel(R) OpenCL; 128; 43; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.29.09; 4096; 9.585867E+02; 9.453163E+02; 2.050000E-02; 1.314923E+02; 2.393000E-01; standard; Intel(R) OpenCL; 128; 43; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.29.11; 4096; 9.536443E+02; 9.435305E+02; 2.920000E-02; 1.213048E+02; 2.046000E-01; standard; Intel(R) OpenCL; 128; 44; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
