DATA; N TASKS; TOTAL RUN SECONDS CPU; TOTAL RUN SECONDS GPU; DISCOVER ENTRIES RUNTIME MS; COMPUTE METRICS RUNTIME MS; SORT RUNTIME MS; VERSION; PLATFORM; PREFERRED WORK GROUP SIZE; GPU TEMPERATURE; CPU TEMPERATURE; DEVICE
16/02/22 22.27.47; 4096; 1.666475E+03; 1.655108E+03; 3.916000E-03; 8.385889E+02; 2.923466E+00; standard; Intel(R) OpenCL HD Graphics; 32; 38; 0; Intel(R) UHD Graphics
16/02/22 22.27.49; 4096; 1.712812E+03; 1.701949E+03; 4.833000E-03; 8.499860E+02; 2.581800E+00; standard; Intel(R) OpenCL HD Graphics; 32; 39; 0; Intel(R) UHD Graphics
16/02/22 22.27.51; 4096; 1.654123E+03; 1.640970E+03; 4.833000E-03; 8.101182E+02; 3.118817E+00; standard; Intel(R) OpenCL HD Graphics; 32; 39; 0; Intel(R) UHD Graphics
16/02/22 22.27.53; 4096; 1.620593E+03; 1.610779E+03; 4.250000E-03; 8.006146E+02; 2.185400E+00; standard; Intel(R) OpenCL HD Graphics; 32; 39; 0; Intel(R) UHD Graphics
16/02/22 22.27.55; 4096; 1.676997E+03; 1.665009E+03; 4.833000E-03; 8.284419E+02; 2.963915E+00; standard; Intel(R) OpenCL HD Graphics; 32; 40; 0; Intel(R) UHD Graphics
16/02/22 22.27.57; 4096; 1.633521E+03; 1.622523E+03; 4.333000E-03; 8.116988E+02; 2.283533E+00; standard; Intel(R) OpenCL HD Graphics; 32; 40; 0; Intel(R) UHD Graphics
16/02/22 22.27.58; 4096; 1.603060E+03; 1.591377E+03; 4.250000E-03; 7.809958E+02; 2.242683E+00; standard; Intel(R) OpenCL HD Graphics; 32; 40; 0; Intel(R) UHD Graphics
16/02/22 22.28.00; 4096; 1.634753E+03; 1.622217E+03; 4.583000E-03; 8.055915E+02; 2.420667E+00; standard; Intel(R) OpenCL HD Graphics; 32; 41; 0; Intel(R) UHD Graphics
16/02/22 22.28.02; 4096; 1.643637E+03; 1.634135E+03; 4.500000E-03; 8.192164E+02; 2.575000E+00; standard; Intel(R) OpenCL HD Graphics; 32; 41; 0; Intel(R) UHD Graphics
16/02/22 22.28.04; 4096; 1.643924E+03; 1.632644E+03; 4.416000E-03; 8.182979E+02; 2.256067E+00; standard; Intel(R) OpenCL HD Graphics; 32; 41; 0; Intel(R) UHD Graphics
16/02/22 22.28.06; 4096; 1.642713E+03; 1.632123E+03; 4.166000E-03; 8.128522E+02; 2.278865E+00; standard; Intel(R) OpenCL HD Graphics; 32; 41; 0; Intel(R) UHD Graphics
16/02/22 22.28.08; 4096; 1.611964E+03; 1.600768E+03; 4.333000E-03; 7.899128E+02; 2.539249E+00; standard; Intel(R) OpenCL HD Graphics; 32; 42; 0; Intel(R) UHD Graphics
16/02/22 22.28.09; 4096; 1.634923E+03; 1.623352E+03; 4.250000E-03; 8.098648E+02; 2.326066E+00; standard; Intel(R) OpenCL HD Graphics; 32; 42; 0; Intel(R) UHD Graphics
16/02/22 22.28.11; 4096; 1.625950E+03; 1.615416E+03; 4.250000E-03; 8.069530E+02; 2.369767E+00; standard; Intel(R) OpenCL HD Graphics; 32; 42; 0; Intel(R) UHD Graphics
16/02/22 22.28.13; 4096; 1.648256E+03; 1.637128E+03; 4.416000E-03; 8.140268E+02; 2.205649E+00; standard; Intel(R) OpenCL HD Graphics; 32; 42; 0; Intel(R) UHD Graphics
