DATA; N TASKS; TOTAL RUN SECONDS CPU; TOTAL RUN SECONDS GPU; DISCOVER ENTRIES RUNTIME MS; COMPUTE METRICS RUNTIME MS; SORT RUNTIME MS; VERSION; PLATFORM; PREFERRED WORK GROUP SIZE; GPU TEMPERATURE; CPU TEMPERATURE; DEVICE
06/02/22 22.47.58; 4096; 3.579707E+03; 3.191216E+03; 1.355776E+00; 2.951026E+03; 1.097504E+00; standard; NVIDIA CUDA; 32; 48; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.48.02; 4096; 3.493865E+03; 3.079226E+03; 1.021760E+00; 2.826265E+03; 1.132544E+00; standard; NVIDIA CUDA; 32; 49; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.48.05; 4096; 3.529115E+03; 3.108186E+03; 1.032192E+00; 2.866470E+03; 1.083392E+00; standard; NVIDIA CUDA; 32; 50; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.48.09; 4096; 3.562147E+03; 3.125336E+03; 1.044480E+00; 2.853731E+03; 1.193312E+00; standard; NVIDIA CUDA; 32; 50; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.48.13; 4096; 3.504307E+03; 3.112261E+03; 1.038464E+00; 2.846331E+03; 1.142208E+00; standard; NVIDIA CUDA; 32; 50; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.48.16; 4096; 3.488851E+03; 3.077816E+03; 1.022432E+00; 2.837172E+03; 1.185184E+00; standard; NVIDIA CUDA; 32; 51; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.48.20; 4096; 3.454452E+03; 3.056926E+03; 1.019072E+00; 2.807347E+03; 1.342752E+00; standard; NVIDIA CUDA; 32; 51; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.48.24; 4096; 3.475845E+03; 3.085877E+03; 1.017376E+00; 2.844686E+03; 1.161216E+00; standard; NVIDIA CUDA; 32; 51; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.48.27; 4096; 3.514252E+03; 3.121293E+03; 1.052832E+00; 2.878095E+03; 1.139968E+00; standard; NVIDIA CUDA; 32; 52; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.48.31; 4096; 3.488562E+03; 3.081100E+03; 1.002368E+00; 2.833174E+03; 1.097248E+00; standard; NVIDIA CUDA; 32; 52; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.48.35; 4096; 3.506165E+03; 3.092349E+03; 1.028512E+00; 2.855028E+03; 1.116992E+00; standard; NVIDIA CUDA; 32; 52; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.48.39; 4096; 3.515854E+03; 3.102751E+03; 1.023968E+00; 2.856495E+03; 1.660192E+00; standard; NVIDIA CUDA; 32; 52; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.48.42; 4096; 3.508587E+03; 3.112585E+03; 1.109024E+00; 2.854979E+03; 1.174336E+00; standard; NVIDIA CUDA; 32; 52; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.48.46; 4096; 3.504999E+03; 3.096345E+03; 1.056768E+00; 2.842575E+03; 1.222656E+00; standard; NVIDIA CUDA; 32; 52; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
06/02/22 22.48.50; 4096; 3.455835E+03; 3.058164E+03; 1.023104E+00; 2.810925E+03; 1.134752E+00; standard; NVIDIA CUDA; 32; 53; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
