DATA; N TASKS; TOTAL RUN SECONDS CPU; TOTAL RUN SECONDS GPU; DISCOVER ENTRIES RUNTIME MS; COMPUTE METRICS RUNTIME MS; SORT RUNTIME MS; VERSION; PLATFORM; PREFERRED WORK GROUP SIZE; GPU TEMPERATURE; CPU TEMPERATURE; DEVICE
13/01/22 01.38.26; 4096; 9.312029E+00; 9.004757E+00; 2.875283E+01; 8.872167E+03; 2.272115E+00; standard; Intel(R) OpenCL HD Graphics; 32; 47; 0; Intel(R) UHD Graphics
13/01/22 01.38.35; 4096; 9.137216E+00; 8.831426E+00; 3.066675E+01; 8.687845E+03; 2.286867E+00; standard; Intel(R) OpenCL HD Graphics; 32; 48; 0; Intel(R) UHD Graphics
13/01/22 01.38.44; 4096; 9.289950E+00; 8.988841E+00; 2.896958E+01; 8.846213E+03; 2.338466E+00; standard; Intel(R) OpenCL HD Graphics; 32; 48; 0; Intel(R) UHD Graphics
13/01/22 01.38.54; 4096; 9.168830E+00; 8.862799E+00; 2.897833E+01; 8.716913E+03; 2.795951E+00; standard; Intel(R) OpenCL HD Graphics; 32; 49; 0; Intel(R) UHD Graphics
13/01/22 01.39.03; 4096; 8.990808E+00; 8.693529E+00; 2.922375E+01; 8.555100E+03; 2.356750E+00; standard; Intel(R) OpenCL HD Graphics; 32; 49; 0; Intel(R) UHD Graphics
13/01/22 01.39.12; 4096; 9.136518E+00; 8.843992E+00; 2.929117E+01; 8.702984E+03; 2.184832E+00; standard; Intel(R) OpenCL HD Graphics; 32; 49; 0; Intel(R) UHD Graphics
13/01/22 01.39.22; 4096; 9.116323E+00; 8.826750E+00; 3.045817E+01; 8.680080E+03; 2.329399E+00; standard; Intel(R) OpenCL HD Graphics; 32; 49; 0; Intel(R) UHD Graphics
13/01/22 01.39.31; 4096; 9.027788E+00; 8.725453E+00; 2.900600E+01; 8.587643E+03; 2.217066E+00; standard; Intel(R) OpenCL HD Graphics; 32; 50; 0; Intel(R) UHD Graphics
13/01/22 01.39.40; 4096; 9.039977E+00; 8.737841E+00; 2.937808E+01; 8.590252E+03; 2.491949E+00; standard; Intel(R) OpenCL HD Graphics; 32; 50; 0; Intel(R) UHD Graphics
13/01/22 01.39.49; 4096; 8.932387E+00; 8.632504E+00; 2.908908E+01; 8.491294E+03; 2.209983E+00; standard; Intel(R) OpenCL HD Graphics; 32; 50; 0; Intel(R) UHD Graphics
13/01/22 01.39.58; 4096; 8.878938E+00; 8.580865E+00; 3.089325E+01; 8.433817E+03; 3.260751E+00; standard; Intel(R) OpenCL HD Graphics; 32; 50; 0; Intel(R) UHD Graphics
13/01/22 01.40.07; 4096; 8.985535E+00; 8.692633E+00; 2.905317E+01; 8.555417E+03; 2.251450E+00; standard; Intel(R) OpenCL HD Graphics; 32; 50; 0; Intel(R) UHD Graphics
13/01/22 01.40.16; 4096; 9.071554E+00; 8.782151E+00; 3.061400E+01; 8.639144E+03; 2.313916E+00; standard; Intel(R) OpenCL HD Graphics; 32; 50; 0; Intel(R) UHD Graphics
13/01/22 01.40.26; 4096; 9.070752E+00; 8.773423E+00; 2.901342E+01; 8.638823E+03; 2.210366E+00; standard; Intel(R) OpenCL HD Graphics; 32; 50; 0; Intel(R) UHD Graphics
13/01/22 01.40.35; 4096; 8.977733E+00; 8.687352E+00; 2.981683E+01; 8.543813E+03; 2.329132E+00; standard; Intel(R) OpenCL HD Graphics; 32; 50; 0; Intel(R) UHD Graphics
