DATA; N TASKS; TOTAL RUN SECONDS CPU; TOTAL RUN SECONDS GPU; DISCOVER ENTRIES RUNTIME MS; COMPUTE METRICS RUNTIME MS; SORT RUNTIME MS; VERSION; PLATFORM; PREFERRED WORK GROUP SIZE; GPU TEMPERATURE; CPU TEMPERATURE; DEVICE
13/01/22 00.58.03; 4096; 5.375883E+00; 5.085877E+00; 1.962272E+00; 4.509493E+03; 1.089856E+00; vec4; NVIDIA CUDA; 32; 45; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 00.58.09; 4096; 5.276473E+00; 4.966368E+00; 1.421312E+00; 4.396058E+03; 1.591136E+00; vec4; NVIDIA CUDA; 32; 47; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 00.58.14; 4096; 5.288262E+00; 4.982384E+00; 1.424992E+00; 4.400627E+03; 1.126048E+00; vec4; NVIDIA CUDA; 32; 48; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 00.58.20; 4096; 5.294321E+00; 4.986189E+00; 1.439360E+00; 4.418832E+03; 1.042048E+00; vec4; NVIDIA CUDA; 32; 49; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 00.58.25; 4096; 5.296046E+00; 4.987404E+00; 1.427392E+00; 4.418800E+03; 1.344960E+00; vec4; NVIDIA CUDA; 32; 49; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 00.58.30; 4096; 5.305025E+00; 4.996516E+00; 1.439776E+00; 4.418878E+03; 1.212416E+00; vec4; NVIDIA CUDA; 32; 50; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 00.58.36; 4096; 5.322309E+00; 5.016132E+00; 1.439744E+00; 4.418882E+03; 1.224704E+00; vec4; NVIDIA CUDA; 32; 50; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 00.58.41; 4096; 5.283097E+00; 4.976253E+00; 1.472832E+00; 4.418869E+03; 1.217056E+00; vec4; NVIDIA CUDA; 32; 51; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 00.58.47; 4096; 5.287305E+00; 4.976038E+00; 1.426912E+00; 4.419123E+03; 1.193760E+00; vec4; NVIDIA CUDA; 32; 51; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 00.58.52; 4096; 5.308098E+00; 5.000503E+00; 1.449984E+00; 4.418972E+03; 1.138304E+00; vec4; NVIDIA CUDA; 32; 52; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 00.58.58; 4096; 5.300662E+00; 4.986683E+00; 1.433728E+00; 4.419330E+03; 1.126720E+00; vec4; NVIDIA CUDA; 32; 52; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 00.59.03; 4096; 5.297846E+00; 4.989921E+00; 1.424608E+00; 4.418941E+03; 1.131200E+00; vec4; NVIDIA CUDA; 32; 52; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 00.59.09; 4096; 5.306472E+00; 5.002807E+00; 1.425408E+00; 4.425294E+03; 1.284096E+00; vec4; NVIDIA CUDA; 32; 52; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 00.59.14; 4096; 5.315097E+00; 5.008843E+00; 1.433600E+00; 4.448900E+03; 1.050624E+00; vec4; NVIDIA CUDA; 32; 53; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 00.59.20; 4096; 5.318910E+00; 5.011868E+00; 1.431520E+00; 4.448719E+03; 1.195840E+00; vec4; NVIDIA CUDA; 32; 53; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
