DATA; N TASKS; TOTAL RUN SECONDS CPU; TOTAL RUN SECONDS GPU; DISCOVER ENTRIES RUNTIME MS; COMPUTE METRICS RUNTIME MS; SORT RUNTIME MS; VERSION; PLATFORM; PREFERRED WORK GROUP SIZE; GPU TEMPERATURE; CPU TEMPERATURE; DEVICE
13/01/22 01.34.56; 4096; 1.739384E+01; 1.708852E+01; 2.746916E+00; 1.651692E+04; 2.184815E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 46; 0; Intel(R) UHD Graphics
13/01/22 01.35.07; 4096; 1.156889E+01; 1.127099E+01; 2.746750E+00; 1.071312E+04; 2.251649E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 46; 0; Intel(R) UHD Graphics
13/01/22 01.35.19; 4096; 1.157582E+01; 1.128010E+01; 2.699500E+00; 1.069049E+04; 2.679182E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 47; 0; Intel(R) UHD Graphics
13/01/22 01.35.31; 4096; 1.213430E+01; 1.184006E+01; 2.644916E+00; 1.124431E+04; 2.212567E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 47; 0; Intel(R) UHD Graphics
13/01/22 01.35.43; 4096; 1.159708E+01; 1.130149E+01; 3.093666E+00; 1.068529E+04; 2.303132E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 47; 0; Intel(R) UHD Graphics
13/01/22 01.35.55; 4096; 1.157507E+01; 1.126987E+01; 2.744250E+00; 1.068196E+04; 2.886050E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 48; 0; Intel(R) UHD Graphics
13/01/22 01.36.07; 4096; 1.159000E+01; 1.129730E+01; 2.868083E+00; 1.068378E+04; 2.216451E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 48; 0; Intel(R) UHD Graphics
13/01/22 01.36.18; 4096; 1.156318E+01; 1.127696E+01; 2.703166E+00; 1.068260E+04; 2.386482E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 48; 0; Intel(R) UHD Graphics
13/01/22 01.36.30; 4096; 1.155621E+01; 1.126051E+01; 2.661333E+00; 1.066425E+04; 2.250483E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 48; 0; Intel(R) UHD Graphics
13/01/22 01.36.42; 4096; 1.164907E+01; 1.135857E+01; 2.832583E+00; 1.074189E+04; 2.212982E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 48; 0; Intel(R) UHD Graphics
13/01/22 01.36.54; 4096; 1.157152E+01; 1.128400E+01; 2.585916E+00; 1.068915E+04; 3.657616E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 49; 0; Intel(R) UHD Graphics
13/01/22 01.37.05; 4096; 1.155342E+01; 1.125517E+01; 2.786500E+00; 1.068018E+04; 2.222699E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 49; 0; Intel(R) UHD Graphics
13/01/22 01.37.17; 4096; 1.155602E+01; 1.126294E+01; 2.676250E+00; 1.067920E+04; 2.897616E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 49; 0; Intel(R) UHD Graphics
13/01/22 01.37.29; 4096; 1.157332E+01; 1.127646E+01; 2.721666E+00; 1.066733E+04; 2.217867E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 49; 0; Intel(R) UHD Graphics
13/01/22 01.37.41; 4096; 1.154943E+01; 1.125949E+01; 2.650250E+00; 1.067344E+04; 2.254216E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 49; 0; Intel(R) UHD Graphics
