DATA; N TASKS; TOTAL RUN SECONDS CPU; TOTAL RUN SECONDS GPU; DISCOVER ENTRIES RUNTIME MS; COMPUTE METRICS RUNTIME MS; SORT RUNTIME MS; VERSION; PLATFORM; PREFERRED WORK GROUP SIZE; GPU TEMPERATURE; CPU TEMPERATURE; DEVICE
16/02/22 22.28.41; 4096; 5.946160E+01; 5.317510E+01; 3.170000E-02; 4.667850E+01; 1.780000E-01; vectorized; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.28.42; 4096; 6.551110E+01; 5.331480E+01; 4.090000E-02; 5.020470E+01; 2.467000E-01; vectorized; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.28.42; 4096; 6.914210E+01; 5.416440E+01; 3.700000E-02; 5.001570E+01; 2.552000E-01; vectorized; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.28.42; 4096; 6.577850E+01; 5.300840E+01; 1.660000E-02; 4.948610E+01; 2.097000E-01; vectorized; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.28.42; 4096; 5.895860E+01; 4.764990E+01; 2.070000E-02; 4.488750E+01; 2.306000E-01; vectorized; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.28.43; 4096; 7.691040E+01; 6.018350E+01; 6.910000E-02; 5.316630E+01; 2.453000E-01; vectorized; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.28.43; 4096; 6.830260E+01; 5.332590E+01; 2.330000E-02; 5.023100E+01; 2.660000E-01; vectorized; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.28.43; 4096; 7.704010E+01; 5.995990E+01; 3.980000E-02; 5.513860E+01; 2.149000E-01; vectorized; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.28.43; 4096; 6.680090E+01; 5.284290E+01; 2.290000E-02; 4.821270E+01; 2.409000E-01; vectorized; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.28.44; 4096; 6.496780E+01; 5.074240E+01; 6.240000E-02; 4.752060E+01; 2.492000E-01; vectorized; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.28.44; 4096; 7.728640E+01; 5.913660E+01; 2.240000E-02; 5.478050E+01; 3.532000E-01; vectorized; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.28.44; 4096; 7.751210E+01; 5.960710E+01; 4.190000E-02; 5.537890E+01; 2.624000E-01; vectorized; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.28.44; 4096; 6.597710E+01; 5.362970E+01; 4.240000E-02; 5.087640E+01; 1.539000E-01; vectorized; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.28.45; 4096; 6.813440E+01; 5.030230E+01; 4.410000E-02; 4.746010E+01; 2.580000E-01; vectorized; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
16/02/22 22.28.45; 4096; 6.844400E+01; 5.215390E+01; 1.870000E-02; 4.875120E+01; 2.565000E-01; vectorized; Intel(R) OpenCL; 128; 42; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
