DATA; N TASKS; TOTAL RUN SECONDS CPU; TOTAL RUN SECONDS GPU; DISCOVER ENTRIES RUNTIME MS; COMPUTE METRICS RUNTIME MS; SORT RUNTIME MS; VERSION; PLATFORM; PREFERRED WORK GROUP SIZE; GPU TEMPERATURE; CPU TEMPERATURE; DEVICE
16/02/22 22.26.38; 4096; 7.360610E+01; 6.158003E+01; 4.416000E-03; 5.601395E+01; 2.539000E+00; vectorized; Intel(R) OpenCL HD Graphics; 32; 38; 0; Intel(R) UHD Graphics
16/02/22 22.26.38; 4096; 7.354670E+01; 5.982218E+01; 4.916000E-03; 5.225727E+01; 2.341300E+00; vectorized; Intel(R) OpenCL HD Graphics; 32; 38; 0; Intel(R) UHD Graphics
16/02/22 22.26.38; 4096; 6.893270E+01; 5.707837E+01; 4.416000E-03; 4.856808E+01; 2.212565E+00; vectorized; Intel(R) OpenCL HD Graphics; 32; 39; 0; Intel(R) UHD Graphics
16/02/22 22.26.39; 4096; 7.848100E+01; 6.370578E+01; 4.333000E-03; 5.541215E+01; 2.211565E+00; vectorized; Intel(R) OpenCL HD Graphics; 32; 39; 0; Intel(R) UHD Graphics
16/02/22 22.26.39; 4096; 7.704910E+01; 6.279803E+01; 4.500000E-03; 5.561942E+01; 2.342083E+00; vectorized; Intel(R) OpenCL HD Graphics; 32; 39; 0; Intel(R) UHD Graphics
16/02/22 22.26.39; 4096; 9.723670E+01; 6.987397E+01; 4.333000E-03; 6.029442E+01; 2.786500E+00; vectorized; Intel(R) OpenCL HD Graphics; 32; 39; 0; Intel(R) UHD Graphics
16/02/22 22.26.40; 4096; 8.572410E+01; 7.036528E+01; 4.750000E-03; 6.269482E+01; 2.430749E+00; vectorized; Intel(R) OpenCL HD Graphics; 32; 39; 0; Intel(R) UHD Graphics
16/02/22 22.26.40; 4096; 8.130890E+01; 6.847410E+01; 4.833000E-03; 5.718395E+01; 2.211500E+00; vectorized; Intel(R) OpenCL HD Graphics; 32; 39; 0; Intel(R) UHD Graphics
16/02/22 22.26.40; 4096; 7.487170E+01; 6.162020E+01; 4.083000E-03; 5.379873E+01; 2.210800E+00; vectorized; Intel(R) OpenCL HD Graphics; 32; 39; 0; Intel(R) UHD Graphics
16/02/22 22.26.40; 4096; 7.632190E+01; 6.251538E+01; 4.250000E-03; 5.462060E+01; 2.288766E+00; vectorized; Intel(R) OpenCL HD Graphics; 32; 39; 0; Intel(R) UHD Graphics
16/02/22 22.26.41; 4096; 7.449960E+01; 5.980605E+01; 4.416000E-03; 5.144815E+01; 2.300232E+00; vectorized; Intel(R) OpenCL HD Graphics; 32; 40; 0; Intel(R) UHD Graphics
16/02/22 22.26.41; 4096; 7.476830E+01; 6.027212E+01; 5.000000E-03; 5.120328E+01; 3.096350E+00; vectorized; Intel(R) OpenCL HD Graphics; 32; 40; 0; Intel(R) UHD Graphics
16/02/22 22.26.41; 4096; 7.766410E+01; 5.894905E+01; 4.250000E-03; 5.117065E+01; 2.581717E+00; vectorized; Intel(R) OpenCL HD Graphics; 32; 40; 0; Intel(R) UHD Graphics
16/02/22 22.26.41; 4096; 8.148410E+01; 7.050362E+01; 1.166600E-02; 6.114198E+01; 2.504333E+00; vectorized; Intel(R) OpenCL HD Graphics; 32; 40; 0; Intel(R) UHD Graphics
16/02/22 22.26.42; 4096; 7.628770E+01; 6.390132E+01; 4.166000E-03; 5.656192E+01; 2.319350E+00; vectorized; Intel(R) OpenCL HD Graphics; 32; 40; 0; Intel(R) UHD Graphics
