DATA; N TASKS; TOTAL RUN SECONDS CPU; TOTAL RUN SECONDS GPU; DISCOVER ENTRIES RUNTIME MS; COMPUTE METRICS RUNTIME MS; SORT RUNTIME MS; VERSION; PLATFORM; PREFERRED WORK GROUP SIZE; GPU TEMPERATURE; CPU TEMPERATURE; DEVICE
13/01/22 01.00.29; 4096; 4.911715E+00; 4.618063E+00; 1.306784E+00; 4.497501E+03; 1.044480E+00; vec4; NVIDIA CUDA; 32; 48; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 01.00.34; 4096; 4.853002E+00; 4.543660E+00; 1.023712E+00; 4.420332E+03; 1.175264E+00; vec4; NVIDIA CUDA; 32; 49; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 01.00.39; 4096; 4.853992E+00; 4.542598E+00; 1.024704E+00; 4.419883E+03; 1.210272E+00; vec4; NVIDIA CUDA; 32; 50; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 01.00.44; 4096; 4.858489E+00; 4.544122E+00; 1.021952E+00; 4.420516E+03; 1.213984E+00; vec4; NVIDIA CUDA; 32; 51; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 01.00.49; 4096; 4.838145E+00; 4.539933E+00; 1.017792E+00; 4.420577E+03; 1.253088E+00; vec4; NVIDIA CUDA; 32; 51; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 01.00.54; 4096; 4.851087E+00; 4.546554E+00; 1.069408E+00; 4.420874E+03; 1.238720E+00; vec4; NVIDIA CUDA; 32; 52; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 01.00.59; 4096; 4.846408E+00; 4.541445E+00; 1.069056E+00; 4.420606E+03; 1.074336E+00; vec4; NVIDIA CUDA; 32; 52; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 01.01.04; 4096; 4.850887E+00; 4.545338E+00; 1.026784E+00; 4.420149E+03; 1.354016E+00; vec4; NVIDIA CUDA; 32; 53; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 01.01.09; 4096; 4.851357E+00; 4.542717E+00; 1.034304E+00; 4.420179E+03; 1.221728E+00; vec4; NVIDIA CUDA; 32; 53; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 01.01.14; 4096; 4.853214E+00; 4.542256E+00; 1.012160E+00; 4.420191E+03; 1.218560E+00; vec4; NVIDIA CUDA; 32; 53; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 01.01.19; 4096; 4.847938E+00; 4.540395E+00; 1.022816E+00; 4.420540E+03; 1.138304E+00; vec4; NVIDIA CUDA; 32; 53; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 01.01.24; 4096; 4.842985E+00; 4.542220E+00; 1.027680E+00; 4.420295E+03; 1.265248E+00; vec4; NVIDIA CUDA; 32; 53; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 01.01.29; 4096; 4.851908E+00; 4.542695E+00; 1.015552E+00; 4.420054E+03; 1.128064E+00; vec4; NVIDIA CUDA; 32; 54; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 01.01.34; 4096; 4.854048E+00; 4.550696E+00; 1.034656E+00; 4.420561E+03; 2.315072E+00; vec4; NVIDIA CUDA; 32; 54; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
13/01/22 01.01.39; 4096; 4.840187E+00; 4.540646E+00; 1.012192E+00; 4.420446E+03; 1.176160E+00; vec4; NVIDIA CUDA; 32; 54; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
