DATA; N TASKS; TOTAL RUN SECONDS CPU; TOTAL RUN SECONDS GPU; DISCOVER ENTRIES RUNTIME MS; COMPUTE METRICS RUNTIME MS; SORT RUNTIME MS; VERSION; PLATFORM; PREFERRED WORK GROUP SIZE; GPU TEMPERATURE; CPU TEMPERATURE; DEVICE
13/01/22 01.41.45; 4096; 1.100908E+01; 1.070952E+01; 2.812092E+01; 1.055045E+04; 2.283983E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 46; 0; Intel(R) UHD Graphics
13/01/22 01.41.57; 4096; 1.105986E+01; 1.074905E+01; 2.842083E+01; 1.058966E+04; 2.321233E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 46; 0; Intel(R) UHD Graphics
13/01/22 01.42.08; 4096; 1.102571E+01; 1.072945E+01; 2.823550E+01; 1.056009E+04; 2.395249E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 47; 0; Intel(R) UHD Graphics
13/01/22 01.42.19; 4096; 1.102960E+01; 1.073443E+01; 2.820942E+01; 1.056512E+04; 2.323499E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 48; 0; Intel(R) UHD Graphics
13/01/22 01.42.30; 4096; 1.107003E+01; 1.077494E+01; 2.836233E+01; 1.060513E+04; 2.634182E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 48; 0; Intel(R) UHD Graphics
13/01/22 01.42.42; 4096; 1.129202E+01; 1.099174E+01; 2.903200E+01; 1.081991E+04; 2.411899E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 48; 0; Intel(R) UHD Graphics
13/01/22 01.42.53; 4096; 1.121535E+01; 1.091110E+01; 2.817142E+01; 1.074349E+04; 2.570083E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 49; 0; Intel(R) UHD Graphics
13/01/22 01.43.04; 4096; 1.115691E+01; 1.086056E+01; 2.886467E+01; 1.068663E+04; 2.550350E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 49; 0; Intel(R) UHD Graphics
13/01/22 01.43.16; 4096; 1.114246E+01; 1.083634E+01; 2.838383E+01; 1.066432E+04; 2.296866E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 49; 0; Intel(R) UHD Graphics
13/01/22 01.43.27; 4096; 1.115014E+01; 1.084632E+01; 2.819767E+01; 1.067551E+04; 2.250850E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 49; 0; Intel(R) UHD Graphics
13/01/22 01.43.38; 4096; 1.117165E+01; 1.085759E+01; 2.948792E+01; 1.068580E+04; 2.249899E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 49; 0; Intel(R) UHD Graphics
13/01/22 01.43.50; 4096; 1.127019E+01; 1.097122E+01; 2.845633E+01; 1.080655E+04; 2.333850E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 50; 0; Intel(R) UHD Graphics
13/01/22 01.44.01; 4096; 1.120950E+01; 1.091550E+01; 2.823292E+01; 1.074697E+04; 2.958583E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 50; 0; Intel(R) UHD Graphics
13/01/22 01.44.13; 4096; 1.125473E+01; 1.095341E+01; 2.842475E+01; 1.078806E+04; 2.327282E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 50; 0; Intel(R) UHD Graphics
13/01/22 01.44.24; 4096; 1.124383E+01; 1.094342E+01; 2.830233E+01; 1.076504E+04; 2.805699E+00; vec4; Intel(R) OpenCL HD Graphics; 16; 50; 0; Intel(R) UHD Graphics
