DATA; N TASKS; TOTAL RUN SECONDS CPU; TOTAL RUN SECONDS GPU; DISCOVER ENTRIES RUNTIME MS; COMPUTE METRICS RUNTIME MS; SORT RUNTIME MS; VERSION; PLATFORM; PREFERRED WORK GROUP SIZE; GPU TEMPERATURE; CPU TEMPERATURE; DEVICE
16/02/22 11.43.38; 4096; 2.854618E+02; 3.194061E+01; 7.929600E-02; 2.699850E+01; 2.017280E+00; vec4; NVIDIA CUDA; 32; 38; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.43.50; 4096; 2.699790E+02; 3.219555E+01; 5.699200E-02; 2.693757E+01; 1.813504E+00; vec4; NVIDIA CUDA; 32; 39; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.43.51; 4096; 2.671155E+02; 3.210445E+01; 1.414400E-02; 2.700554E+01; 1.874080E+00; vec4; NVIDIA CUDA; 32; 39; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.43.51; 4096; 2.768565E+02; 3.136144E+01; 1.475200E-02; 2.682992E+01; 1.937408E+00; vec4; NVIDIA CUDA; 32; 39; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.43.51; 4096; 2.773617E+02; 3.367110E+01; 1.433600E-02; 2.664208E+01; 1.809344E+00; vec4; NVIDIA CUDA; 32; 39; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.43.52; 4096; 2.670779E+02; 3.352371E+01; 2.867200E-02; 2.649856E+01; 1.802240E+00; vec4; NVIDIA CUDA; 32; 39; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.43.52; 4096; 2.736196E+02; 3.277210E+01; 1.433600E-02; 2.710733E+01; 1.912800E+00; vec4; NVIDIA CUDA; 32; 39; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.43.53; 4096; 2.665690E+02; 3.170714E+01; 1.843200E-02; 2.711376E+01; 1.828864E+00; vec4; NVIDIA CUDA; 32; 39; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.43.53; 4096; 2.800553E+02; 3.144499E+01; 1.433600E-02; 2.688720E+01; 1.900544E+00; vec4; NVIDIA CUDA; 32; 40; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.43.54; 4096; 2.800973E+02; 3.753443E+01; 1.507200E-02; 2.714214E+01; 2.445312E+00; vec4; NVIDIA CUDA; 32; 40; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.43.54; 4096; 2.743969E+02; 3.169379E+01; 1.459200E-02; 2.676845E+01; 1.853888E+00; vec4; NVIDIA CUDA; 32; 40; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.43.55; 4096; 2.728876E+02; 3.237446E+01; 2.080000E-02; 2.695987E+01; 1.926464E+00; vec4; NVIDIA CUDA; 32; 40; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.43.55; 4096; 2.683063E+02; 3.219741E+01; 1.321600E-02; 2.695046E+01; 1.927488E+00; vec4; NVIDIA CUDA; 32; 40; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.43.56; 4096; 2.806335E+02; 3.575603E+01; 1.366400E-02; 2.916762E+01; 2.020320E+00; vec4; NVIDIA CUDA; 32; 40; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.43.56; 4096; 2.706838E+02; 3.257014E+01; 1.513600E-02; 2.801258E+01; 1.912832E+00; vec4; NVIDIA CUDA; 32; 40; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
